,C,D,I,S,T
0, 0.0044718, 0.0000002, 0.0012271, 1.2515384, 9999.7449392
0.0031, 0.0103104, 0.0000007, 0.0028013, 1.6161807, 9999.3750593
0.0062, 0.0178951, 0.0000015, 0.0048594, 2.1217554, 9998.8620546
0.0093, 0.0279018, 0.0000029, 0.0075863, 2.8195740, 9998.1537622
0.0124, 0.0412466, 0.0000050, 0.0112338, 3.7793734, 9997.1792871
0.0155, 0.0591785, 0.0000081, 0.0161454, 5.0964141, 9995.8417844
0.0186, 0.0834007, 0.0000124, 0.0227892, 6.9007425, 9994.0090359
0.0217, 0.1162365, 0.0000184, 0.0318043, 9.3697938, 9991.5006232
0.0248, 0.1608551, 0.0000267, 0.0440620, 12.7454949, 9988.0705114
0.0279, 0.2215787, 0.0000382, 0.0607506, 17.3574119, 9983.3834611
0.031, 0.3042990, 0.0000541, 0.0834898, 23.6539692, 9976.9831816
0.0341, 0.4170424, 0.0000758, 0.1144854, 32.2443474, 9968.2495315
0.0372, 0.5707326, 0.0001055, 0.1567385, 43.9543296, 9956.3413587
0.0403, 0.7802159, 0.0001462, 0.2143257, 59.9000304, 9940.1208311
0.0434, 1.0656325, 0.0002018, 0.2927732, 81.5839165, 9918.0545057
0.0465, 1.4542326, 0.0002778, 0.3995511, 111.0174371, 9888.0862760
0.0496, 1.9827565, 0.0003813, 0.5447179, 150.8731749, 9847.4784306
0.0527, 2.7005008, 0.0005223, 0.7417454, 204.6654298, 9792.6205984
0.0558, 3.6731776, 0.0007141, 1.0085480, 276.9494997, 9718.8144115
0.0589, 4.9876031, 0.0009746, 1.3687164, 373.5136976, 9620.0573369
0.062, 6.7571036, 0.0013275, 1.8529092, 501.5111150, 9488.8760241
0.0651, 9.1272255, 0.0018042, 2.5002695, 669.4386919, 9316.3004070
0.0682, 12.2808610, 0.0024456, 3.3595983, 886.8241837, 9092.1218257
0.0713, 16.4412110, 0.0033042, 4.4898351, 1163.4468568, 8805.6244162
0.0744, 21.8702494, 0.0044463, 5.9592198, 1507.9385312, 8446.9760883
0.0775, 28.8598651, 0.0059534, 7.8424469, 1925.7512452, 8009.3427801
0.0806, 37.7133053, 0.0079227, 10.2153482, 2416.7807228, 7491.4819597
0.0837, 48.7166458, 0.0104666, 13.1473070, 2973.3411818, 6900.1117375
0.0868, 62.1038893, 0.0137099, 16.6926220, 3579.4579674, 6250.9823071
0.0899, 78.0235847, 0.0177852, 20.8829429, 4212.2415174, 5567.7040278
0.093, 96.5167583, 0.0228277, 25.7230023, 4845.3052388, 4878.2313310
0.0961, 117.5131493, 0.0289693, 31.1908690, 5453.1806812, 4210.0762325
0.0992, 140.8460689, 0.0363335, 37.2423367, 6015.1837474, 3585.9782362
0.1023, 166.2797085, 0.0450322, 43.8177931, 6517.5747147, 3021.3837149
0.1054, 193.5401230, 0.0551632, 50.8495905, 6953.7797343, 2524.0591424
0.1085, 222.3427613, 0.0668100, 58.2684155, 7323.2153378, 2095.2745794
0.1116, 252.4129233, 0.0800420, 66.0079363, 7629.5108351, 1731.6867452
0.1147, 283.4986012, 0.0949158, 74.0076593, 7878.7588527, 1427.2200723
0.1178, 315.3769067, 0.1114766, 82.2142989, 8078.1224352, 1174.5749162
0.1209, 347.8558762, 0.1297598, 90.5820887, 8234.8810788, 966.2652633
0.124, 380.7733523, 0.1497925, 99.0724339, 8355.8624952, 795.2399133
0.1271, 413.9942729, 0.1715948, 107.6532140, 8447.1597641, 655.1945804
0.1302, 447.4072855, 0.1951811, 116.2979467, 8514.0355582, 540.6810873
0.1333, 480.9212574, 0.2205611, 124.9849420, 8560.9363343, 447.0971308
0.1364, 514.4619995, 0.2477408, 133.6965159, 8591.5632393, 370.6142854
0.1395, 547.9693508, 0.2767228, 142.4182963, 8608.9662532, 308.0804869
0.1426, 581.3946719, 0.3075074, 151.1386278, 8615.6422511, 256.9178898
0.1457, 614.6987366, 0.3400927, 159.8480736, 8613.6269179, 215.0269743
0.1488, 647.8499854, 0.3744754, 168.5390031, 8604.5760730, 180.7017071
0.1519, 680.8230919, 0.4106505, 177.2052544, 8589.8351502, 152.5571205
0.155, 713.5977947, 0.4486122, 185.8418589, 8570.4972463, 129.4688837
0.1581, 746.1579484, 0.4883537, 194.4448183, 8547.4509188, 110.5236214
0.1612, 778.4907545, 0.5298675, 203.0109239, 8521.4191666, 94.9784608
0.1643, 810.5861390, 0.5731456, 211.5376098, 8492.9910311, 82.2282926
0.1674, 842.4362481, 0.6181795, 220.0228345, 8462.6471178, 71.7793729
0.1705, 874.0350402, 0.6649604, 228.4649851, 8430.7801701, 63.2280785
0.1736, 905.3779541, 0.7134791, 236.8627989, 8397.7116408, 56.2438209
0.1767, 936.4616402, 0.7637264, 245.2153006, 8363.7050441, 50.5553013
0.1798, 967.2837413, 0.8156928, 253.5217503, 8328.9767210, 45.9394447
0.1829, 997.8427144, 0.8693686, 261.7816019, 8293.7045304, 42.2124771
0.186, 1028.1376844, 0.9247442, 269.9944682, 8258.0348781, 39.2227203
0.1891, 1058.1683249, 0.9818098, 278.1600933, 8222.0884105, 36.8447614
0.1922, 1087.9347606, 1.0405556, 286.2783294, 8185.9646363, 34.9747262
0.1953, 1117.4374865, 1.1009719, 294.3491174, 8149.7456859, 33.5264380
