,C,D,I,S,T
0, 0.0207275, 0.0000000, 0.0000072, 1.1039484, 399999.8753142
0.01, 0.0440116, 0.0000000, 0.0000153, 1.2302584, 399999.7257013
0.02, 0.0700298, 0.0000001, 0.0000243, 1.3798430, 399999.5500705
0.03, 0.0992901, 0.0000001, 0.0000344, 1.5563850, 399999.3442298
0.04, 0.1323711, 0.0000002, 0.0000458, 1.7641214, 399999.1033625
0.05, 0.1699428, 0.0000003, 0.0000587, 2.0079851, 399998.8218639
0.06, 0.2127811, 0.0000004, 0.0000735, 2.2937165, 399998.4932157
0.07, 0.2617858, 0.0000006, 0.0000904, 2.6279946, 399998.1098372
0.08, 0.3180002, 0.0000007, 0.0001098, 3.0185882, 399997.6629134
0.09, 0.3826350, 0.0000010, 0.0001320, 3.4745331, 399997.1421950
0.1, 0.4570951, 0.0000012, 0.0001577, 4.0063376, 399996.5357652
0.11, 0.5430116, 0.0000015, 0.0001872, 4.6262204, 399995.8297698
0.12, 0.6422786, 0.0000019, 0.0002214, 5.3483889, 399995.0081029
0.13, 0.7570958, 0.0000023, 0.0002609, 6.1893610, 399994.0520412
0.14, 0.8900182, 0.0000028, 0.0003066, 7.1683400, 399992.9398196
0.15, 1.0440142, 0.0000034, 0.0003596, 8.3076502, 399991.6461379
0.16, 1.2225323, 0.0000041, 0.0004210, 9.6332434, 399990.1415869
0.17, 1.4295793, 0.0000050, 0.0004922, 11.1752866, 399988.3919824
0.18, 1.6698111, 0.0000059, 0.0005748, 12.9688462, 399986.3575897
0.19, 1.9486381, 0.0000070, 0.0006707, 15.0546826, 399983.9922240
0.2, 2.2723473, 0.0000083, 0.0007820, 17.4801732, 399981.2422042
0.21, 2.6482452, 0.0000099, 0.0009112, 20.3003859, 399978.0451363
0.22, 3.0848229, 0.0000116, 0.0010613, 23.5793256, 399974.3285016
0.23, 3.5919482, 0.0000137, 0.0012356, 27.3913833, 399970.0080145
0.24, 4.1810896, 0.0000161, 0.0014381, 31.8230191, 399964.9857148
0.25, 4.8655752, 0.0000189, 0.0016734, 36.9747184, 399959.1477524
0.26, 5.6608949, 0.0000221, 0.0019468, 42.9632634, 399952.3618114
0.27, 6.5850507, 0.0000259, 0.0022644, 49.9243724, 399944.4741200
0.28, 7.6589642, 0.0000303, 0.0026335, 58.0157654, 399935.3059760
0.29, 8.9069495, 0.0000354, 0.0030624, 67.4207243, 399924.6497114
0.3, 10.3572633, 0.0000413, 0.0035608, 78.3522262, 399912.2640067
0.31, 12.0427435, 0.0000482, 0.0041401, 91.0577437, 399897.8684494
0.32, 14.0015509, 0.0000562, 0.0048132, 105.8248156, 399881.1372175
0.33, 16.2780310, 0.0000656, 0.0055956, 122.9875134, 399861.6917475
0.34, 18.9237146, 0.0000764, 0.0065047, 142.9339427, 399839.0922264
0.35, 21.9984795, 0.0000890, 0.0075614, 166.1149453, 399812.8277203
0.36, 25.5718996, 0.0001037, 0.0087893, 193.0541887, 399782.3047278
0.37, 29.7248105, 0.0001207, 0.0102164, 224.3598611, 399746.8339074
0.38, 34.5511261, 0.0001405, 0.0118749, 260.7382194, 399705.6146976
0.39, 40.1599470, 0.0001635, 0.0138023, 303.0092771, 399657.7175026
0.4, 46.6780043, 0.0001903, 0.0160420, 352.1249576, 399602.0630698
0.41, 54.2524948, 0.0002213, 0.0186448, 409.1900845, 399537.3986328
0.42, 63.0543648, 0.0002575, 0.0216692, 475.4866320, 399462.2703344
0.43, 73.2821153, 0.0002995, 0.0251835, 552.5017140, 399374.9913788
0.44, 85.1662062, 0.0003482, 0.0292669, 641.9598488, 399273.6052905
0.45, 98.9741522, 0.0004050, 0.0340113, 745.8601012, 399155.8435814
0.46, 115.0164134, 0.0004708, 0.0395232, 866.5187717, 399019.0770479
0.47, 133.6531987, 0.0005474, 0.0459263, 1006.6183641, 398860.2598346
0.48, 155.3023158, 0.0006364, 0.0533642, 1169.2636316, 398675.8653223
0.49, 180.4482169, 0.0007398, 0.0620032, 1358.0455503, 398461.8128228
0.5, 209.6524074, 0.0008599, 0.0720360, 1577.1141133, 398213.3839975
