time,C,D,E,I,S,T
0, 0.0106621, 0.0000002, 0.0020667, 0.0012271, 1.2515385, 9999.7470250
0.0031, 0.0226623, 0.0000007, 0.0041333, 0.0028013, 1.6161811, 9999.3792562
0.0062, 0.0363832, 0.0000015, 0.0062000, 0.0048594, 2.1217566, 9998.8683876
0.0093, 0.0525008, 0.0000029, 0.0082667, 0.0075863, 2.8195767, 9998.1622556
0.0124, 0.0719313, 0.0000050, 0.0103333, 0.0112338, 3.7793791, 9997.1899648
0.0155, 0.0959238, 0.0000081, 0.0124000, 0.0161454, 5.0964253, 9995.8546690
0.0186, 0.1261816, 0.0000124, 0.0144667, 0.0227893, 6.9007630, 9994.0241486
0.0217, 0.1650282, 0.0000184, 0.0165333, 0.0318043, 9.3698301, 9991.5179823
0.0248, 0.2156329, 0.0000267, 0.0186000, 0.0440621, 12.7455572, 9988.0901316
0.0279, 0.2823180, 0.0000382, 0.0206667, 0.0607508, 17.3575164, 9983.4053507
0.031, 0.3709755, 0.0000541, 0.0227333, 0.0834902, 23.6541410, 9977.0073400
0.0341, 0.4896319, 0.0000758, 0.0248000, 0.1144861, 32.2446253, 9968.2759442
0.0372, 0.6492112, 0.0001055, 0.0268667, 0.1567396, 43.9547730, 9956.3699903
0.0403, 0.8645603, 0.0001462, 0.0289333, 0.2143274, 59.9007291, 9940.1516151
0.0434, 1.1558198, 0.0002018, 0.0310000, 0.2927759, 81.5850055, 9918.0873300
0.0465, 1.5502405, 0.0002778, 0.0330667, 0.3995554, 111.0191170, 9888.1209616
0.0496, 2.0845641, 0.0003813, 0.0351333, 0.5447246, 150.8757405, 9847.5147021
0.0527, 2.8080887, 0.0005223, 0.0372000, 0.7417558, 204.6693091, 9792.6580442
0.0558, 3.7865284, 0.0007141, 0.0392667, 1.0085639, 276.9553038, 9718.8524310
0.0589, 5.1067028, 0.0009746, 0.0413333, 1.3687405, 373.5222821, 9620.0950747
0.062, 6.8819421, 0.0013275, 0.0434000, 1.8529452, 501.5236480, 9488.9122964
0.0651, 9.2577985, 0.0018042, 0.0454667, 2.5003228, 669.4567146, 9316.3336303
0.0682, 12.4171716, 0.0024456, 0.0475333, 3.3596760, 886.8496399, 9092.1499732
0.0713, 16.5832712, 0.0033043, 0.0496000, 4.4899468, 1163.4820523, 8805.6450427
0.0744, 22.0180812, 0.0044464, 0.0516667, 5.9593776, 1507.9859741, 8446.9864768
0.0775, 29.0135012, 0.0059535, 0.0537333, 7.8426655, 1925.8133314, 8009.3402572
0.0806, 37.8727873, 0.0079229, 0.0558000, 10.2156443, 2416.8592766, 7491.4643819
