,,Hong Kong,,,China,,,Taiwan,,,Tianjin,,,Beijing,,,Liaoning,,,Zhejiang,,,Shanghai,,,Guangdong,,,Jiangsu,,,Jiangxi,,,Sichuan,,,Henan,,,Hubei,,,Fujian,,,Neimenggu,,,Jilin,,,Shanxi,,,Chongqing,,,Macau,,,Gansu,,,Shandong,,,Yunnan,,,Shaanxi,,,Heilongjiang,,,Hainan,,,Hebei,,,Guangxi,,,Guizhou,,,Ningxia,,,Hunan,,,Xinjiang,,,Anhui,,,Qinghai,,,Xizang
date,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead
2020-1-22,0,0,0,0,0,0,1,0,0,4,0,0,10,0,0,2,0,0,10,0,0,9,0,0,26,0,0,0,0,0,2,0,0,5,0,0,5,0,0,444,28,17,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-1-23,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,17,0,0,7,0,0,6,2,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,2,0,0,8,0,0,0,0,0,0,0,0
2020-1-24,0,0,0,0,0,0,0,0,0,4,0,0,14,1,0,1,0,0,16,1,0,4,1,0,21,0,0,4,0,0,4,0,0,7,0,0,4,0,0,105,3,7,5,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,2,0,1,3,0,0,1,0,1,8,0,0,0,0,0,1,0,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2020-1-25,0,0,0,0,0,0,2,0,0,2,0,0,5,2,0,12,0,0,19,0,0,13,0,0,25,0,0,9,1,0,11,0,0,13,0,0,23,0,0,181,1,15,8,0,0,5,0,0,1,0,0,5,0,0,30,0,0,0,0,0,2,0,0,12,1,0,6,0,0,10,0,0,5,0,0,11,0,0,6,0,0,10,0,0,1,0,0,1,0,0,19,0,0,1,0,0,24,0,0,1,0,0,0,0,0
2020-1-26,0,0,0,0,0,0,1,0,0,4,0,0,27,0,0,5,0,0,42,0,0,7,0,1,33,0,0,15,0,0,18,0,0,16,1,0,51,0,1,328,10,13,17,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,3,0,0,19,0,0,5,0,0,7,0,0,6,0,0,3,0,0,5,0,0,13,0,0,1,0,0,1,0,0,26,0,0,1,0,0,21,0,0,0,0,0,0,0,0
2020-1-27,0,0,0,0,0,0,1,0,0,8,0,0,12,0,1,6,0,0,24,0,0,13,2,0,40,1,0,14,0,0,12,1,0,25,0,0,45,0,0,365,5,24,24,0,0,4,0,0,2,0,0,4,0,0,35,0,0,0,0,0,7,0,0,29,1,0,10,0,0,13,0,0,6,0,0,11,0,1,5,0,0,10,0,0,2,0,0,3,0,0,31,0,0,1,0,0,10,0,0,5,0,0,0,0,0
2020-1-28,0,0,0,0,0,0,3,0,0,2,0,0,11,2,0,7,0,0,45,2,0,13,1,0,56,1,0,23,0,0,24,2,0,21,0,0,40,0,0,1291,5,24,21,0,0,4,0,0,2,0,0,7,0,0,22,0,0,0,0,0,5,0,0,20,0,1,18,0,0,11,0,0,9,0,0,7,0,0,15,0,0,5,2,0,2,0,0,4,0,0,43,0,0,5,0,0,36,0,0,0,0,0,0,0,0
2020-1-29,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0,5,1,0,123,0,0,30,1,0,70,1,0,29,0,0,37,0,0,18,1,1,38,1,1,840,35,25,4,0,0,1,0,0,1,0,0,7,1,0,15,1,0,0,0,0,5,0,0,35,1,0,11,0,0,10,0,0,8,0,0,3,0,0,15,0,0,7,0,0,0,1,0,1,0,0,78,0,0,3,0,0,49,2,0,0,0,0,0,0,0
2020-1-30,0,0,0,0,0,0,1,0,0,4,0,0,3,0,0,2,0,0,132,1,0,16,6,0,77,5,0,30,0,0,53,2,0,34,0,0,72,1,0,1349,3,37,17,0,0,2,0,0,5,1,0,8,0,0,35,0,0,0,0,0,2,0,0,28,0,0,15,0,0,7,0,0,6,0,1,3,1,0,17,0,0,20,0,0,3,0,0,5,0,0,56,2,0,1,0,0,45,0,0,2,0,0,1,0,0
