,,Hong Kong,,,China,,,Taiwan,,,Tianjin,,,Beijing,,,Liaoning,,,Zhejiang,,,Shanghai,,,Guangdong,,,Jiangsu,,,Jiangxi,,,Sichuan,,,Henan,,,Hubei,,,Fujian,,,Neimenggu,,,Jilin,,,Shanxi,,,Chongqing,,,Macau,,,Gansu,,,Shandong,,,Yunnan,,,Shaanxi,,,Heilongjiang,,,Hainan,,,Hebei,,,Guangxi,,,Guizhou,,,Ningxia,,,Hunan,,,Xinjiang,,,Anhui,,,Qinghai,,,Xizang,
date,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead,confirmed,cured,dead
2020-1-22,0,0,0,0,0,0,1,0,0,4,0,0,10,0,0,2,0,0,10,0,0,9,0,0,26,0,0,0,0,0,2,0,0,5,0,0,5,0,0,444,28,17,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-1-23,0,0,0,0,0,0,1,0,0,4,0,0,22,0,0,3,0,0,27,0,0,16,0,0,32,2,0,5,0,0,3,0,0,8,0,0,5,0,0,444,28,17,5,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,2,0,0,6,0,0,1,0,0,3,0,0,2,0,0,5,0,0,1,0,0,5,0,0,3,0,0,1,0,0,9,0,0,2,0,0,9,0,0,0,0,0,0,0,0
2020-1-24,0,0,0,0,0,0,1,0,0,8,0,0,36,1,0,4,0,0,43,1,0,20,1,0,53,2,0,9,0,0,7,0,0,15,0,0,9,0,0,549,31,24,10,0,0,2,0,0,3,0,0,1,0,0,27,0,0,0,0,0,2,0,0,15,0,0,5,0,0,5,0,0,4,0,1,8,0,0,2,0,1,13,0,0,3,0,0,2,0,0,24,0,0,2,0,0,15,0,0,0,0,0,0,0,0
2020-1-25,0,0,0,0,0,0,3,0,0,10,0,0,41,3,0,16,0,0,62,1,0,33,1,0,78,2,0,18,1,0,18,0,0,28,0,0,32,0,0,730,32,39,18,0,0,7,0,0,4,0,0,6,0,0,57,0,0,0,0,0,4,0,0,27,1,0,11,0,0,15,0,0,9,0,1,19,0,0,8,0,1,23,0,0,4,0,0,3,0,0,43,0,0,3,0,0,39,0,0,1,0,0,0,0,0
2020-1-26,0,0,0,0,0,0,4,0,0,14,0,0,68,2,0,21,0,0,104,1,0,40,1,1,111,2,0,33,1,0,36,0,0,44,1,0,83,0,1,1058,42,52,35,0,0,7,0,0,4,0,0,9,0,0,75,0,0,0,0,0,7,0,0,46,0,0,16,0,0,22,0,0,15,0,1,22,0,0,13,0,1,36,0,0,5,0,0,4,0,0,69,0,0,4,0,0,60,0,0,1,0,0,0,0,0
2020-1-27,0,0,0,0,0,0,5,0,0,22,0,0,80,2,1,27,0,0,128,1,0,53,3,1,151,3,0,47,1,0,48,1,0,69,0,0,128,0,1,1423,47,76,59,0,0,11,0,0,6,0,0,13,0,0,110,0,0,0,0,0,14,0,0,75,1,0,26,0,0,35,0,0,21,0,1,33,0,1,18,0,1,46,0,0,7,0,0,7,0,0,100,0,0,5,0,0,70,0,0,6,0,0,0,0,0
2020-1-28,0,0,0,0,0,0,8,0,0,24,0,0,91,4,1,34,0,0,173,3,0,66,4,1,207,4,0,70,1,0,72,3,0,90,0,0,168,0,1,2714,52,100,80,0,0,15,0,0,8,0,0,20,0,0,132,0,0,0,0,0,19,0,0,95,0,1,44,0,0,46,0,0,30,0,1,40,0,1,33,0,1,51,2,0,9,0,0,11,0,0,143,0,0,10,0,0,106,0,0,6,0,0,0,0,0
2020-1-29,0,0,0,0,0,0,8,0,0,27,0,0,111,4,1,39,1,0,296,3,0,96,5,1,277,5,0,99,1,0,109,3,0,108,1,1,206,1,2,3554,87,125,84,0,0,16,0,0,9,0,0,27,1,0,147,1,0,0,0,0,24,0,0,130,1,0,55,0,0,56,0,0,38,0,1,43,0,1,48,0,1,58,2,0,9,1,0,12,0,0,221,0,0,13,0,0,155,2,0,6,0,0,0,0,0
2020-1-30,0,0,0,0,0,0,9,0,0,31,0,0,114,4,1,41,1,0,428,4,0,112,11,1,354,10,0,129,1,0,162,5,0,142,1,1,278,2,2,4903,90,162,101,0,0,18,0,0,14,1,0,35,1,0,182,1,0,0,0,0,26,0,0,158,1,0,70,0,0,63,0,0,44,0,2,46,1,1,65,0,1,78,2,0,12,1,0,17,0,0,277,2,0,14,0,0,200,2,0,8,0,0,1,0,0
